,JobID,Designation,Industry,Location,Skills,DetailID,CompanyID
0,238770,Product Owner,Agriculture / Dairy,Bangalore,"Product Management, Agile, Data Analysis, Stakeholder Management, Warranty Management",393,4
1,232279,Sales Associate,Agriculture / Dairy,"Hyderabad, Pune","Business Development, Corporate Sales, Sales",136,83
2,258174,CRM & Digital Marketing Specialist,Agriculture / Dairy,Work From Home,"Brand Management, Business Development, Corporate Strategy, General Management, Operations Management, Strategic Planning",24,156
3,220759,Training Consultant,Airlines / Aviation / Aerospace,Delhi,"Direct Sales, Telecalling",338,45
4,241862,Business Development Manager,Airlines / Aviation / Aerospace,Mumbai,"Business Development, Sales",229,281
5,258649,Sales Consultant,Airlines / Aviation / Aerospace,Delhi,"Direct Sales, International Sales, Sales",329,300
6,258073,Business Development Executive,Animation / Graphic / Design,Mumbai,"Business Development, Sales",229,64
7,249865,Sales Executive,Animation / Graphic / Design,Chennai,"Business Development, Direct Sales, International Sales, Sales, Telecalling",147,271
8,250921,E - Commerce Manager,Apparel / Fashion,Delhi,"Customer Interaction, Customer Relationship, Customer Service",297,53
9,234607,Retail Sales Executive,Apparel / Fashion,Chennai,"Direct Sales, Sales",334,95
10,194206,Customer Experience Associate,Apparel / Fashion,Delhi,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",311,104
11,263798,Big Data Scientist,Apparel / Fashion,Bangalore,"Java, Python, SQA, Spark, Scala",363,127
12,236683,Copywriter,Apparel / Fashion,Kolkata,"Content Marketing, Content Writing, English Content",256,157
13,113031,Sales Executives - B2B,Apparel / Fashion,"Delhi, Jaipur, Mumbai","Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",103,297
14,113035,Sales Manager,Apparel / Fashion,Mumbai,"Business Development, Corporate Sales, Direct Sales",44,297
15,256649,Sales Manager,Architecture / Interior Design,Bangalore,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",59,137
16,261974,Senior Content Writer,Architecture / Interior Design,Noida,Content Writing,265,146
17,226934,Senior Sales Executive,Architecture / Interior Design,Bangalore,"Business Development, Direct Sales, Sales, Telecalling",171,303
18,238770,Product Owner,Automotive,Bangalore,"Product Management, Agile, Data Analysis, Stakeholder Management, Warranty Management",393,4
19,234368,Sales Consultant,Automotive,Bangalore,"Business Development, Corporate Sales, Direct Sales, Sales",94,36
20,263190,Corporate Sales Manager,Automotive,Bangalore,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",103,94
21,227715,Area Sales Manager,Automotive,"Ahmedabad, Gandhidham, Mumbai","Business Development, Direct Sales, Sales",163,109
22,198835,Zonal Head - Sales,Automotive,"Jaipur, Kolkata, Surat","Business Development, Direct Sales, Sales",163,109
23,241120,Relationship Manager,Automotive,Kolkata,"Customer Relationship, Direct Sales, Sales",315,135
24,266251,Customer Support Executive,Automotive,Bangalore,"Customer Interaction, Customer Relationship, Customer Service",297,241
25,266255,Regional Manager,Automotive,Bangalore,"Business Development, Corporate Sales, Telecalling",141,241
26,264033,Area Sales Manager,Automotive,"Mumbai, Nasik, Pune",Sales,418,249
27,258954,Assistant Manager - Procurement & Supply Chain,Automotive,Kolkata,"Procurement, Supply Chain Management, Vendor Management, Warehouse Operations",388,291
28,264394,AVP Operations,Banking / Financial / Insurance,Gurgaon,"Operations Management, Quality Control, Vendor Management",384,66
29,265179,Regional Sales Manager (State Head - Sales),Banking / Financial / Insurance,"Chennai, Cochin, Mumbai",Sales,418,161
30,264931,DevOps Engineer,Banking / Financial / Insurance,Bangalore,"AWS, Kubernetes, Linux, RDBMS, SQL",5,167
31,265719,Finance Controller,Banking / Financial / Insurance,Bangalore,"Accounting, Auditing, Finance, Taxation, Budgeting, Chartered Accountant, External Audit, Financial Analysis, Financial Planning, Financial Reporting, GST, Internal Audit, MIS, Tally",10,214
32,265676,Associate Growth Manager,Banking / Financial / Insurance,Gurgaon,"Direct Sales, Sales",334,221
33,266939,Relationship Manager - Lender Partner,Banking / Financial / Insurance,Bangalore,"Finance, Partnerships",341,254
34,265410,Relationship Manager,Banking / Financial / Insurance,Vadodara,"Business Development, Direct Sales, Sales",163,255
35,266953,Content Writing Specialist,Banking / Financial / Insurance,Mumbai,"Content Marketing, Content Writing",248,307
36,266902,Senior Manager - Strategic and Management,Banking / Financial / Insurance,Mumbai,"General Management, Corporate Strategy, Strategic Planning",344,307
37,264825,Inside Sales Representative,Banking / Financial / Insurance,Bangalore,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",69,332
38,258456,Agency Manager,Banking / Financial / Insurance,"Delhi, Greater Noida, Noida","Business Development, Direct Sales, Sales",163,10
39,254367,collection manager,Banking / Financial / Insurance,Chennai,"Customer Interaction, Customer Relationship, Customer Service",297,112
40,257545,Collection Officer - Telecalling,Banking / Financial / Insurance,Bangalore,Telecalling,425,124
41,263798,Big Data Scientist,Banking / Financial / Insurance,Bangalore,"Java, Python, SQA, Spark, Scala",363,127
42,254211,DSA Relationship Manager,Banking / Financial / Insurance,"Bangalore, Delhi, Mumbai",Sales,418,354
